PassengerId,Survived
669,0
705,0
145,0
463,0
503,1
793,0
488,0
694,0
495,0
322,0
226,0
466,0
193,0
388,1
392,0
239,0
204,0
254,0
219,1
601,1
49,0
891,0
797,1
872,1
431,1
626,0
772,0
733,0
575,0
722,0
589,0
93,0
604,0
334,0
614,0
441,1
838,0
205,0
28,0
414,0
26,0
724,0
751,1
668,0
612,0
645,1
874,0
434,0
572,1
383,0
744,0
765,0
475,0
871,0
36,0
190,0
257,1
531,1
255,0
515,0
578,1
437,0
70,0
470,1
554,0
3,0
547,1
211,0
302,0
245,0
7,0
347,1
660,1
580,0
285,0
367,1
521,1
858,0
865,0
764,1
99,1
396,0
618,1
701,1
321,0
603,0
82,0
350,0
359,1
160,0
127,0
469,0
75,0
543,0
202,0
465,0
700,0
84,0
468,0
545,1
426,0
246,1
105,0
690,1
862,0
374,0
385,0
890,1
615,0
94,0
163,0
643,0
235,0
830,1
180,0
731,1
686,0
738,1
56,0
585,0
2,1
717,1
623,0
556,0
563,0
740,0
33,1
134,1
509,0
109,0
423,0
843,1
790,0
234,0
